Sno,ID,Subject,Subject Code,Type,Year,Branch,Acad Year,Sem,Credits
485,N220422,Communication Systems-1 Lab,23EC2281,PCC-2,E2,ECE,2025-26,Semester II,1.5
486,N220422,Digital System Design,23EC2202,PCC-3,E2,ECE,2025-26,Semester II,3
487,N220422,Digital System Design Lab,23EC2282,PCC-4,E2,ECE,2025-26,Semester II,1.5
488,N220422,Linear Integrated Circuits,23EC2203,PCC-5,E2,ECE,2025-26,Semester II,4
489,N220422,Linear Integrated Circuits Lab,23EC2283,PCC-6,E2,ECE,2025-26,Semester II,1.5
490,N220422,Electromagnetic Waves & Guided Media,23EC2204,PCC-7,E2,ECE,2025-26,Semester II,4
491,N220146,Robotics Laboratory,23EE2281,ESC,E2,EEE,2025-26,Semester II,1
492,N220146,Power Systems-I,23EE2201,PCC-1,E2,EEE,2025-26,Semester II,4
493,N220146,Machine Learning,23EE2204,PCC-2,E2,EEE,2025-26,Semester II,3
494,N220146,Control Systems,23EE2202,PCC-3,E2,EEE,2025-26,Semester II,4
495,N220146,Control Systems Lab,23EE2282,PCC-4,E2,EEE,2025-26,Semester II,1.5
496,N220146,Linear Integrated Circuits,23EC2203,PCC-5,E2,EEE,2025-26,Semester II,4
497,N220146,Linear Integrated Circuits Lab,23EC2283,PCC-6,E2,EEE,2025-26,Semester II,1.5
498,N220146,Power Electronics,23EE2203,PCC-7,E2,EEE,2025-26,Semester II,4
499,N220146,Power Electronics Lab,23EE2283,PCC-8,E2,EEE,2025-26,Semester II,1.5
500,N220384,Introduction to Operation Research,23BM2202,HSMC,E2,CSE,2025-26,Semester II,3
501,N220384,Computer Organization & Architecture,23CS2201,PCC-1,E2,CSE,2025-26,Semester II,3
502,N220384,Data Science with Python,23CS2202,PCC-2,E2,CSE,2025-26,Semester II,3
503,N220384,Web Technologies,23CS2203,PCC-3,E2,CSE,2025-26,Semester II,3
504,N220384,Compiler Design,23CS2204,PCC-4,E2,CSE,2025-26,Semester II,3
505,N220384,Computer Organization & Architecture Lab,23CS2281,PCC-5,E2,CSE,2025-26,Semester II,1.5
506,N220384,Data Science with Python Lab,23CS2282,PCC-6,E2,CSE,2025-26,Semester II,1.5
507,N220384,Web Technologies Lab,23CS2283,PCC-7,E2,CSE,2025-26,Semester II,1.5
508,N220209,Robotics Laboratory,23EC2285,ESC-1,E2,ECE,2025-26,Semester II,2.5
509,N220209,Foundations to Artificial Intelligence,23EC2205,ESC-2,E2,ECE,2025-26,Semester II,1
510,N220209,Communication Systems-1,23EC2201,PCC-1,E2,ECE,2025-26,Semester II,4
511,N220209,Communication Systems-1 Lab,23EC2281,PCC-2,E2,ECE,2025-26,Semester II,1.5
512,N220209,Digital System Design,23EC2202,PCC-3,E2,ECE,2025-26,Semester II,3
513,N220209,Digital System Design Lab,23EC2282,PCC-4,E2,ECE,2025-26,Semester II,1.5
514,N220209,Linear Integrated Circuits,23EC2203,PCC-5,E2,ECE,2025-26,Semester II,4
515,N220209,Linear Integrated Circuits Lab,23EC2283,PCC-6,E2,ECE,2025-26,Semester II,1.5
516,N220209,Electromagnetic Waves & Guided Media,23EC2204,PCC-7,E2,ECE,2025-26,Semester II,4
517,N220647,Robotics Laboratory,23EC2285,ESC-1,E2,ECE,2025-26,Semester II,2.5
518,N220647,Foundations to Artificial Intelligence,23EC2205,ESC-2,E2,ECE,2025-26,Semester II,1
519,N220647,Communication Systems-1,23EC2201,PCC-1,E2,ECE,2025-26,Semester II,4
520,N220647,Communication Systems-1 Lab,23EC2281,PCC-2,E2,ECE,2025-26,Semester II,1.5
521,N220647,Digital System Design,23EC2202,PCC-3,E2,ECE,2025-26,Semester II,3
522,N220647,Digital System Design Lab,23EC2282,PCC-4,E2,ECE,2025-26,Semester II,1.5
523,N220647,Linear Integrated Circuits,23EC2203,PCC-5,E2,ECE,2025-26,Semester II,4
524,N220647,Linear Integrated Circuits Lab,23EC2283,PCC-6,E2,ECE,2025-26,Semester II,1.5
525,N220647,Electromagnetic Waves & Guided Media,23EC2204,PCC-7,E2,ECE,2025-26,Semester II,4
